"actor_id","target_year","sector_list","target_boundary","percent_achieved","last_updated","target_type","baseline_year","target_id","target_value","target_unit","data_source"
"BR REC",2050,"Energy","Same (city-wide) – covers entire city and nothing else",NA,"2021-10-04T09:30:14.243","Absolute emission reduction",NA,"CDPCitiesTargets:2021:BR REC",0,"tCO2e","CDPCitiesTargets:2021"
"DK HLS",2030,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",100,"2021-10-04T09:30:14.243","Absolute emission reduction",2008,"CDPCitiesTargets:2021:DK HLS",40,"percent","CDPCitiesTargets:2021"
"JP KUA",2030,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",51.55,"2021-10-04T09:30:14.243","Absolute emission reduction",2013,"CDPCitiesTargets:2021:JP KUA",11.57,"percent","CDPCitiesTargets:2021"
"IT MIL",2020,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",93.5,"2021-10-04T09:30:14.243","Absolute emission reduction",2005,"CDPCitiesTargets:2021:IT MIL",20,"percent","CDPCitiesTargets:2021"
"IT MIL",2020,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",93.5,"2021-10-04T09:30:14.243","Absolute emission reduction",2005,"CDPCitiesTargets:2021:IT MIL",20,"percent","CDPCitiesTargets:2021"
"NO TRD",2023,"Other, please specify: All direct emissions within the city boundary's are  included in the targets","Same (city-wide) – covers entire city and nothing else",67,"2021-10-04T09:30:14.243","Absolute emission reduction",2009,"CDPCitiesTargets:2021:NO TRD",30,"percent","CDPCitiesTargets:2021"
"AR SJO",2030,"Other, please specify: Energía, Transporte y Desechos","Same (city-wide) – covers entire city and nothing else",NA,"2021-10-04T09:30:14.243","Relative emission reduction",2030,"CDPCitiesTargets:2021:AR SJO",18,"percent","CDPCitiesTargets:2021"
"IT PMF",2030,"All emissions sources included in city inventory","Larger – covers the whole city and adjoining areas",11.7,"2021-10-04T09:30:14.243","Absolute emission reduction",2004,"CDPCitiesTargets:2021:IT PMF",46,"percent","CDPCitiesTargets:2021"
"CO ENV",2050,"Waste","Same (city-wide) – covers entire city and nothing else",9,"2021-10-04T09:30:14.243","Relative emission reduction",2050,"CDPCitiesTargets:2021:CO ENV",20,"percent","CDPCitiesTargets:2021"
"AR SAO",2030,"Other, please specify: Energía, Transporte, Desechos","Same (city-wide) – covers entire city and nothing else",NA,"2021-10-04T09:30:14.243","Relative emission reduction",2030,"CDPCitiesTargets:2021:AR SAO",20,"percent","CDPCitiesTargets:2021"
"EC CUE",2023,"Waste","Same (city-wide) – covers entire city and nothing else",0,"2021-10-04T09:30:14.243","Absolute emission reduction",2019,"CDPCitiesTargets:2021:EC CUE",20,"percent","CDPCitiesTargets:2021"
"JP MUH",2030,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",32.7,"2021-10-04T09:30:14.243","Absolute emission reduction",2013,"CDPCitiesTargets:2021:JP MUH",26.1,"percent","CDPCitiesTargets:2021"
"SE HEL",2045,"Other, please specify: includes consumption based emissions.","Same (city-wide) – covers entire city and nothing else",NA,"2021-10-04T09:30:14.243","Absolute emission reduction",NA,"CDPCitiesTargets:2021:SE HEL",90,"percent","CDPCitiesTargets:2021"
"GB EDI",2030,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",0,"2021-10-04T09:30:14.243","Absolute emission reduction",NA,"CDPCitiesTargets:2021:GB EDI",0,"tCO2e","CDPCitiesTargets:2021"
"MX ZAP",2030,"Waste","Same (city-wide) – covers entire city and nothing else",NA,"2021-10-04T09:30:14.243","Relative emission reduction",2030,"CDPCitiesTargets:2021:MX ZAP",28,"percent","CDPCitiesTargets:2021"
"MY KUL",2050,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",36,"2021-10-04T09:30:14.243","Absolute emission reduction",2010,"CDPCitiesTargets:2021:MY KUL",100,"percent","CDPCitiesTargets:2021"
"NZ WLG",2040,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",10,"2021-10-04T09:30:14.243","Absolute emission reduction",2001,"CDPCitiesTargets:2021:NZ WLG",68,"percent","CDPCitiesTargets:2021"
"GB SUN",2040,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",0,"2021-10-04T09:30:14.243","Absolute emission reduction",NA,"CDPCitiesTargets:2021:GB SUN",0,"tCO2e","CDPCitiesTargets:2021"
"SE HEL",2035,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",52,"2021-10-04T09:30:14.243","Absolute emission reduction",1990,"CDPCitiesTargets:2021:SE HEL",100,"percent","CDPCitiesTargets:2021"
"DK FRE",2020,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",100,"2021-10-04T09:30:14.243","Absolute emission reduction",2010,"CDPCitiesTargets:2021:DK FRE",25,"percent","CDPCitiesTargets:2021"
"JP UTO",NA,NA,NA,NA,"2021-10-04T09:30:14.243","Absolute emission reduction",NA,"CDPCitiesTargets:2021:JP UTO",NA,"percent","CDPCitiesTargets:2021"
"FR NCE",2030,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",22,"2021-10-04T09:30:14.243","Absolute emission reduction",2012,"CDPCitiesTargets:2021:FR NCE",30,"percent","CDPCitiesTargets:2021"
"BR SME",2030,"Transport","Larger – covers the whole city and adjoining areas",0,"2021-10-04T09:30:14.243","Absolute emission reduction",2016,"CDPCitiesTargets:2021:BR SME",10.6,"percent","CDPCitiesTargets:2021"
"BR REC",2050,"Energy","Same (city-wide) – covers entire city and nothing else",NA,"2021-10-04T09:30:14.243","Absolute emission reduction",NA,"CDPCitiesTargets:2021:BR REC",0,"tCO2e","CDPCitiesTargets:2021"
"FR LEH",2030,"Energy","Same (city-wide) – covers entire city and nothing else",NA,"2021-10-04T09:30:14.243","Absolute emission reduction",NA,"CDPCitiesTargets:2021:FR LEH",NA,"tCO2e","CDPCitiesTargets:2021"
"NG IBA",NA,"Waste","Larger – covers the whole city and adjoining areas",NA,"2021-10-04T09:30:14.243","Absolute emission reduction",NA,"CDPCitiesTargets:2021:NG IBA",NA,"percent","CDPCitiesTargets:2021"
"IS AKU",2040,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",1.75,"2021-10-04T09:30:14.243","Absolute emission reduction",NA,"CDPCitiesTargets:2021:IS AKU",0,"tCO2e","CDPCitiesTargets:2021"
"SE HEL",NA,"Other, please specify: Ecological footprint.","Same (city-wide) – covers entire city and nothing else",NA,"2021-10-04T09:30:14.243","Absolute emission reduction",NA,"CDPCitiesTargets:2021:SE HEL",NA,"percent","CDPCitiesTargets:2021"
"CN GGZ",2020,"Energy","Same (city-wide) – covers entire city and nothing else",NA,"2021-10-04T09:30:14.243","Carbon intensity reduction",2015,"CDPCitiesTargets:2021:CN GGZ",NA,"percent","CDPCitiesTargets:2021"
"MX ZAP",2030,"Transport","Same (city-wide) – covers entire city and nothing else",NA,"2021-10-04T09:30:14.243","Relative emission reduction",2030,"CDPCitiesTargets:2021:MX ZAP",18,"percent","CDPCitiesTargets:2021"
"TW TYN",2050,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",0,"2021-10-04T09:30:14.243","Absolute emission reduction",2005,"CDPCitiesTargets:2021:TW TYN",100,"percent","CDPCitiesTargets:2021"
"DK FRE",2050,"Transport","Same (city-wide) – covers entire city and nothing else",NA,"2021-10-04T09:30:14.243","Absolute emission reduction",2010,"CDPCitiesTargets:2021:DK FRE",100,"percent","CDPCitiesTargets:2021"
"CR QPS",2025,"Energy","Local Government Operations - covers only emission sources owned and operated by local government",0,"2021-10-04T09:30:14.243","Absolute emission reduction",2018,"CDPCitiesTargets:2021:CR QPS",0.1,"percent","CDPCitiesTargets:2021"
"CH BRN",2045,"All emissions sources included in city inventory","Larger – covers the whole city and adjoining areas",NA,"2021-10-04T09:30:14.243","Absolute emission reduction",NA,"CDPCitiesTargets:2021:CH BRN",0,"tCO2e","CDPCitiesTargets:2021"
"JP STM",2030,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",NA,"2021-10-04T09:30:14.243","Absolute emission reduction",2013,"CDPCitiesTargets:2021:JP STM",35,"percent","CDPCitiesTargets:2021"
"KR SUO",2030,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",9.2,"2021-10-04T09:30:14.243","Absolute emission reduction",2005,"CDPCitiesTargets:2021:KR SUO",25,"percent","CDPCitiesTargets:2021"
"CR SJO",2025,"Waste","Same (city-wide) – covers entire city and nothing else",5,"2021-10-04T09:30:14.243","Absolute emission reduction",2017,"CDPCitiesTargets:2021:CR SJO",1,"percent","CDPCitiesTargets:2021"
"FR URO",2050,"Transport","Same (city-wide) – covers entire city and nothing else",16.7,"2021-10-04T09:30:14.243","Absolute emission reduction",NA,"CDPCitiesTargets:2021:FR URO",232921,"tCO2e","CDPCitiesTargets:2021"
"PT OPO",2050,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",36.2,"2021-10-04T09:30:14.243","Absolute emission reduction",2004,"CDPCitiesTargets:2021:PT OPO",100,"percent","CDPCitiesTargets:2021"
"PT STA",2030,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",30,"2021-10-04T09:30:14.243","Absolute emission reduction",2008,"CDPCitiesTargets:2021:PT STA",40.7,"percent","CDPCitiesTargets:2021"
"FR URO",2050,"Other, please specify: Résidentiel","Same (city-wide) – covers entire city and nothing else",11.3,"2021-10-04T09:30:14.243","Absolute emission reduction",2005,"CDPCitiesTargets:2021:FR URO",84,"percent","CDPCitiesTargets:2021"
"PE SDR",2050,"Waste","Same (city-wide) – covers entire city and nothing else",1,"2021-10-04T09:30:14.243","Absolute emission reduction",2017,"CDPCitiesTargets:2021:PE SDR",99,"percent","CDPCitiesTargets:2021"
"GH ACC",2030,"All emissions sources included in city inventory","Larger – covers the whole city and adjoining areas",NA,"2021-10-04T09:30:14.243","Relative emission reduction",2030,"CDPCitiesTargets:2021:GH ACC",27,"percent","CDPCitiesTargets:2021"
"SG SIN",2050,"All emissions sources included in city inventory",NA,NA,"2021-10-04T09:30:14.243","Absolute emission reduction",2030,"CDPCitiesTargets:2021:SG SIN",50,"percent","CDPCitiesTargets:2021"
"KR USN",2030,"Other, please specify: 시 관리 비산업부문(건물, 공공기타, 수송, 농축산, 폐기물)","Smaller – covers only part of the city",21,"2021-10-04T09:30:14.243","Relative emission reduction",2030,"CDPCitiesTargets:2021:KR USN",30.4,"percent","CDPCitiesTargets:2021"
"AR RES",2030,"Other, please specify: Energía, Transporte y Desechos","Same (city-wide) – covers entire city and nothing else",NA,"2021-10-04T09:30:14.243","Relative emission reduction",2030,"CDPCitiesTargets:2021:AR RES",21,"percent","CDPCitiesTargets:2021"
"PH QZT",2030,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",NA,"2021-10-04T09:30:14.243","Relative emission reduction",2030,"CDPCitiesTargets:2021:PH QZT",30,"percent","CDPCitiesTargets:2021"
"JP HDA",2025,"All emissions sources included in city inventory",NA,NA,"2021-10-04T09:30:14.243","Absolute emission reduction",2019,"CDPCitiesTargets:2021:JP HDA",7.7,"percent","CDPCitiesTargets:2021"
"TW TPE",2030,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",37.69,"2021-10-04T09:30:14.243","Absolute emission reduction",2005,"CDPCitiesTargets:2021:TW TPE",30,"percent","CDPCitiesTargets:2021"
"FR URO",2050,"Other, please specify: Industrie","Same (city-wide) – covers entire city and nothing else",49.7,"2021-10-04T09:30:14.243","Absolute emission reduction",2005,"CDPCitiesTargets:2021:FR URO",86,"percent","CDPCitiesTargets:2021"
"NZ WLG",2050,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",7,"2021-10-04T09:30:14.243","Absolute emission reduction",2001,"CDPCitiesTargets:2021:NZ WLG",100,"percent","CDPCitiesTargets:2021"
"IT FLR",2030,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",70,"2021-10-04T09:30:14.243","Absolute emission reduction",2005,"CDPCitiesTargets:2021:IT FLR",60,"percent","CDPCitiesTargets:2021"
"IT FLR",2030,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",70,"2021-10-04T09:30:14.243","Absolute emission reduction",2005,"CDPCitiesTargets:2021:IT FLR",60,"percent","CDPCitiesTargets:2021"
"HR ZAG",2030,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",51.6,"2021-10-04T09:30:14.243","Absolute emission reduction",2008,"CDPCitiesTargets:2021:HR ZAG",40,"percent","CDPCitiesTargets:2021"
"CO SIJ",NA,NA,NA,NA,"2021-10-04T09:30:14.243","Absolute emission reduction",NA,"CDPCitiesTargets:2021:CO SIJ",NA,"percent","CDPCitiesTargets:2021"
"BR REC",2037,"Energy","Same (city-wide) – covers entire city and nothing else",NA,"2021-10-04T09:30:14.243","Absolute emission reduction",NA,"CDPCitiesTargets:2021:BR REC",0,"tCO2e","CDPCitiesTargets:2021"
"BR RIO",2050,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",0,"2021-10-04T09:30:14.243","Absolute emission reduction",NA,"CDPCitiesTargets:2021:BR RIO",0,"tCO2e","CDPCitiesTargets:2021"
"SE VXO",2030,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",56.4,"2021-10-04T09:30:14.243","Carbon intensity reduction",1993,"CDPCitiesTargets:2021:SE VXO",100,"percent","CDPCitiesTargets:2021"
"CH BSL",NA,NA,NA,NA,"2021-10-04T09:30:14.243","Carbon intensity reduction",NA,"CDPCitiesTargets:2021:CH BSL",NA,"percent","CDPCitiesTargets:2021"
"SE GOT",2030,"Other, please specify: Emission reductions from purchased equipment, products, material and services","Same (city-wide) – covers entire city and nothing else",NA,"2021-10-04T09:30:14.243","Absolute emission reduction",2020,"CDPCitiesTargets:2021:SE GOT",90,"percent","CDPCitiesTargets:2021"
"SE GOT",2030,"Other, please specify: Emission reductions from purchased equipment, products, material and services","Same (city-wide) – covers entire city and nothing else",NA,"2021-10-04T09:30:14.243","Absolute emission reduction",2020,"CDPCitiesTargets:2021:SE GOT",90,"percent","CDPCitiesTargets:2021"
"CI ABJ",NA,NA,NA,NA,"2021-10-04T09:30:14.243","Carbon intensity reduction",NA,"CDPCitiesTargets:2021:CI ABJ",NA,"percent","CDPCitiesTargets:2021"
"JP S67",2018,NA,NA,100,"2021-10-04T09:30:14.243","Absolute emission reduction",2006,"CDPCitiesTargets:2021:JP S67",32.3,"percent","CDPCitiesTargets:2021"
"SE GOT",2030,"Transport","Same (city-wide) – covers entire city and nothing else",6.03,"2021-10-04T09:30:14.243","Absolute emission reduction",2010,"CDPCitiesTargets:2021:SE GOT",90,"percent","CDPCitiesTargets:2021"
"SE GOT",2030,"Transport","Same (city-wide) – covers entire city and nothing else",6.03,"2021-10-04T09:30:14.243","Absolute emission reduction",2010,"CDPCitiesTargets:2021:SE GOT",90,"percent","CDPCitiesTargets:2021"
"PT OPO",2030,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",36.2,"2021-10-04T09:30:14.243","Absolute emission reduction",2004,"CDPCitiesTargets:2021:PT OPO",60,"percent","CDPCitiesTargets:2021"
"HN TGU",2040,"Transport","Same (city-wide) – covers entire city and nothing else",0,"2021-10-04T09:30:14.243","Absolute emission reduction",NA,"CDPCitiesTargets:2021:HN TGU",NA,"tCO2e","CDPCitiesTargets:2021"
"SE MRA",2030,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",51,"2021-10-04T09:30:14.243","Carbon intensity reduction",1990,"CDPCitiesTargets:2021:SE MRA",75,"percent","CDPCitiesTargets:2021"
"KR CHC",2040,"Other, please specify: AFOLU(토지제외)","Same (city-wide) – covers entire city and nothing else",100,"2021-10-04T09:30:14.243","Absolute emission reduction",2017,"CDPCitiesTargets:2021:KR CHC",100,"percent","CDPCitiesTargets:2021"
"KR CHC",2040,"Other, please specify: 산업공정","Same (city-wide) – covers entire city and nothing else",NA,"2021-10-04T09:30:14.243","Absolute emission reduction",2017,"CDPCitiesTargets:2021:KR CHC",100,"percent","CDPCitiesTargets:2021"
"SI LJU",2035,"Waste","Larger – covers the whole city and adjoining areas",98,"2021-10-04T09:30:14.243","Absolute emission reduction",2014,"CDPCitiesTargets:2021:SI LJU",30,"percent","CDPCitiesTargets:2021"
"MX CUU",2021,"All emissions sources included in city inventory","Larger – covers the whole city and adjoining areas",NA,"2021-10-04T09:30:14.243","Absolute emission reduction",NA,"CDPCitiesTargets:2021:MX CUU",NA,"tCO2e","CDPCitiesTargets:2021"
"DK HVV",2030,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",NA,"2021-10-04T09:30:14.243","Absolute emission reduction",NA,"CDPCitiesTargets:2021:DK HVV",102626,"tCO2e","CDPCitiesTargets:2021"
"TH YNT",2030,"Waste","Same (city-wide) – covers entire city and nothing else",10,"2021-10-04T09:30:14.243","Relative emission reduction",2030,"CDPCitiesTargets:2021:TH YNT",35,"percent","CDPCitiesTargets:2021"
"CL IND",2030,"Energy","Same (city-wide) – covers entire city and nothing else",0,"2021-10-04T09:30:14.243","Absolute emission reduction",2018,"CDPCitiesTargets:2021:CL IND",30,"percent","CDPCitiesTargets:2021"
"CH BRN",2035,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",NA,"2021-10-04T09:30:14.243","Carbon intensity reduction",NA,"CDPCitiesTargets:2021:CH BRN",NA,"percent","CDPCitiesTargets:2021"
"CH ZRH",2020,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",100,"2021-10-04T09:30:14.243","Carbon intensity reduction",2005,"CDPCitiesTargets:2021:CH ZRH",28,"percent","CDPCitiesTargets:2021"
"FR PAR",2050,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",25,"2021-10-04T09:30:14.243","Absolute emission reduction",2004,"CDPCitiesTargets:2021:FR PAR",100,"percent","CDPCitiesTargets:2021"
"JP ODW",2020,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",62.74,"2021-10-04T09:30:14.243","Absolute emission reduction",1990,"CDPCitiesTargets:2021:JP ODW",25,"percent","CDPCitiesTargets:2021"
"BR CAN",2050,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",0,"2021-10-04T09:30:14.243","Absolute emission reduction",NA,"CDPCitiesTargets:2021:BR CAN",0,"tCO2e","CDPCitiesTargets:2021"
"SE VVK",2030,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",30,"2021-10-04T09:30:14.243","Absolute emission reduction",NA,"CDPCitiesTargets:2021:SE VVK",0,"tCO2e","CDPCitiesTargets:2021"
"NL AMS",NA,NA,NA,NA,"2021-10-04T09:30:14.243","Absolute emission reduction",NA,"CDPCitiesTargets:2021:NL AMS",NA,"tCO2e","CDPCitiesTargets:2021"
"FR URO",2050,"Other, please specify: Tertiaire","Same (city-wide) – covers entire city and nothing else",7.1,"2021-10-04T09:30:14.243","Absolute emission reduction",NA,"CDPCitiesTargets:2021:FR URO",19894,"tCO2e","CDPCitiesTargets:2021"
"PT FAO",NA,NA,NA,NA,"2021-10-04T09:30:14.243","Absolute emission reduction",NA,"CDPCitiesTargets:2021:PT FAO",NA,"percent","CDPCitiesTargets:2021"
"IT ASI",2030,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",43.5,"2021-10-04T09:30:14.243","Absolute emission reduction",2008,"CDPCitiesTargets:2021:IT ASI",40,"percent","CDPCitiesTargets:2021"
"NL HAG",2030,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",55,"2021-10-04T09:30:14.243","Absolute emission reduction",1990,"CDPCitiesTargets:2021:NL HAG",50,"percent","CDPCitiesTargets:2021"
"PT FAO",NA,NA,NA,NA,"2021-10-04T09:30:14.243","Carbon intensity reduction",NA,"CDPCitiesTargets:2021:PT FAO",NA,"percent","CDPCitiesTargets:2021"
"GB WAN",2030,"Other, please specify: consumption-based emissions","Same (city-wide) – covers entire city and nothing else",0,"2021-10-04T09:30:14.243","Absolute emission reduction",NA,"CDPCitiesTargets:2021:GB WAN",940667,"tCO2e","CDPCitiesTargets:2021"
"SE GOT",2030,"Other, please specify: Food","Same (city-wide) – covers entire city and nothing else",NA,"2021-10-04T09:30:14.243","Carbon intensity reduction",2019,"CDPCitiesTargets:2021:SE GOT",31.6,"percent","CDPCitiesTargets:2021"
"SE GOT",2030,"Other, please specify: Food","Same (city-wide) – covers entire city and nothing else",NA,"2021-10-04T09:30:14.243","Carbon intensity reduction",2019,"CDPCitiesTargets:2021:SE GOT",31.6,"percent","CDPCitiesTargets:2021"
"ES BCN",2030,"Transport","Same (city-wide) – covers entire city and nothing else",0,"2021-10-04T09:30:14.243","Absolute emission reduction",2017,"CDPCitiesTargets:2021:ES BCN",71,"percent","CDPCitiesTargets:2021"
"SG SIN",NA,"Other, please specify:",NA,NA,"2021-10-04T09:30:14.243","Absolute emission reduction",NA,"CDPCitiesTargets:2021:SG SIN",NA,"tCO2e","CDPCitiesTargets:2021"
"CN HAZ",2020,"Energy","Same (city-wide) – covers entire city and nothing else",NA,"2021-10-04T09:30:14.243","Carbon intensity reduction",2015,"CDPCitiesTargets:2021:CN HAZ",NA,"percent","CDPCitiesTargets:2021"
"CH BRN",2025,"Energy","Same (city-wide) – covers entire city and nothing else",14,"2021-10-04T09:30:14.243","Absolute emission reduction",2008,"CDPCitiesTargets:2021:CH BRN",30,"percent","CDPCitiesTargets:2021"
"CR ORE",NA,NA,NA,NA,"2021-10-04T09:30:14.243","Carbon intensity reduction",NA,"CDPCitiesTargets:2021:CR ORE",NA,"percent","CDPCitiesTargets:2021"
"TR DNZ",2030,"All emissions sources included in city inventory","Larger – covers the whole city and adjoining areas",0,"2021-10-04T09:30:14.243","Relative emission reduction",2030,"CDPCitiesTargets:2021:TR DNZ",21,"percent","CDPCitiesTargets:2021"
"DK FRE",2030,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",25,"2021-10-04T09:30:14.243","Absolute emission reduction",1990,"CDPCitiesTargets:2021:DK FRE",70,"percent","CDPCitiesTargets:2021"
"CD FBM",NA,NA,NA,NA,"2021-10-04T09:30:14.243","Absolute emission reduction",NA,"CDPCitiesTargets:2021:CD FBM",NA,"percent","CDPCitiesTargets:2021"
"KR TAE",2030,"Other, please specify: forestry","Smaller – covers only part of the city",100,"2021-10-04T09:30:14.243","Relative emission reduction",2030,"CDPCitiesTargets:2021:KR TAE",4.8,"percent","CDPCitiesTargets:2021"
"EC UIO",2030,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",15,"2021-10-04T09:30:14.243","Relative emission reduction",2030,"CDPCitiesTargets:2021:EC UIO",30,"percent","CDPCitiesTargets:2021"
"TH BKK",2020,"Other, please specify: Waste and Wastewater","Same (city-wide) – covers entire city and nothing else",80,"2021-10-04T09:30:14.243","Absolute emission reduction",2013,"CDPCitiesTargets:2021:TH BKK",4.06,"percent","CDPCitiesTargets:2021"
"IS REY",2030,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",0,"2021-10-04T09:30:14.243","Absolute emission reduction",2019,"CDPCitiesTargets:2021:IS REY",55,"percent","CDPCitiesTargets:2021"
"IT PDA",2030,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",67.7,"2021-10-04T09:30:14.243","Absolute emission reduction",2005,"CDPCitiesTargets:2021:IT PDA",55.3,"percent","CDPCitiesTargets:2021"
"IT PDA",2030,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",67.7,"2021-10-04T09:30:14.243","Absolute emission reduction",2005,"CDPCitiesTargets:2021:IT PDA",55.3,"percent","CDPCitiesTargets:2021"
"MC MON",2030,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",27.98,"2021-10-04T09:30:14.243","Absolute emission reduction",1990,"CDPCitiesTargets:2021:MC MON",55,"percent","CDPCitiesTargets:2021"
"IT LCV",NA,NA,NA,NA,"2021-10-04T09:30:14.243","Absolute emission reduction",NA,"CDPCitiesTargets:2021:IT LCV",NA,"percent","CDPCitiesTargets:2021"
"CR CAS",2023,"Transport","Same (city-wide) – covers entire city and nothing else",0,"2021-10-04T09:30:14.243","Absolute emission reduction",2018,"CDPCitiesTargets:2021:CR CAS",0.5,"percent","CDPCitiesTargets:2021"
"AR URA",NA,NA,NA,NA,"2021-10-04T09:30:14.243","Relative emission reduction",NA,"CDPCitiesTargets:2021:AR URA",NA,"percent","CDPCitiesTargets:2021"
"ID BOG",2030,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",35,"2021-10-04T09:30:14.243","Absolute emission reduction",2010,"CDPCitiesTargets:2021:ID BOG",35,"percent","CDPCitiesTargets:2021"
"SE GOT",2030,"Other, please specify: Consumption-based emissions per capita","Same (city-wide) – covers entire city and nothing else",NA,"2021-10-04T09:30:14.243","Carbon intensity reduction",2017,"CDPCitiesTargets:2021:SE GOT",62.9,"percent","CDPCitiesTargets:2021"
"SE GOT",2030,"Other, please specify: Consumption-based emissions per capita","Same (city-wide) – covers entire city and nothing else",NA,"2021-10-04T09:30:14.243","Carbon intensity reduction",2017,"CDPCitiesTargets:2021:SE GOT",62.9,"percent","CDPCitiesTargets:2021"
"GB SUN",2035,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",16.5,"2021-10-04T09:30:14.243","Absolute emission reduction",2015,"CDPCitiesTargets:2021:GB SUN",91.9,"percent","CDPCitiesTargets:2021"
"SE HEL",2030,"Transport","Same (city-wide) – covers entire city and nothing else",32,"2021-10-04T09:30:14.243","Absolute emission reduction",2010,"CDPCitiesTargets:2021:SE HEL",80,"percent","CDPCitiesTargets:2021"
"SE GOT",2030,"Other, please specify: Building sector","Same (city-wide) – covers entire city and nothing else",NA,"2021-10-04T09:30:14.243","Absolute emission reduction",2020,"CDPCitiesTargets:2021:SE GOT",90,"percent","CDPCitiesTargets:2021"
"SE GOT",2030,"Other, please specify: Building sector","Same (city-wide) – covers entire city and nothing else",NA,"2021-10-04T09:30:14.243","Absolute emission reduction",2020,"CDPCitiesTargets:2021:SE GOT",90,"percent","CDPCitiesTargets:2021"
"GB WAN",2030,"All emissions sources included in city inventory","Local Government Operations – covers only emission sources owned and operated by local government",0,"2021-10-04T09:30:14.243","Absolute emission reduction",NA,"CDPCitiesTargets:2021:GB WAN",0,"tCO2e","CDPCitiesTargets:2021"
"TR IZM",2030,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",NA,"2021-10-04T09:30:14.243","Absolute emission reduction",2018,"CDPCitiesTargets:2021:TR IZM",40,"percent","CDPCitiesTargets:2021"
"ES VIT",2020,"Energy","Larger – covers the whole city and adjoining areas",100,"2021-10-04T09:30:14.243","Absolute emission reduction",2006,"CDPCitiesTargets:2021:ES VIT",27.7,"percent","CDPCitiesTargets:2021"
"KR YOS",2030,"Other, please specify: SCOPE 1 GHG emissions","Same (city-wide) – covers entire city and nothing else",0,"2021-10-04T09:30:14.243","Absolute emission reduction",2017,"CDPCitiesTargets:2021:KR YOS",30.7,"percent","CDPCitiesTargets:2021"
"BR CPS",2060,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",0,"2021-10-04T09:30:14.243","Absolute emission reduction",2016,"CDPCitiesTargets:2021:BR CPS",32,"percent","CDPCitiesTargets:2021"
"TZ DAR",2015,"Other, please specify: Land use, land use change and forestry","Larger – covers the whole city and adjoining areas",100,"2021-10-04T09:30:14.243","Absolute emission reduction",2000,"CDPCitiesTargets:2021:TZ DAR",15,"percent","CDPCitiesTargets:2021"
